p_T, Eta, Phi, p_T-corr, N-Trk, Angularity, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, X_tru
28.5013, -0.261176, 4.18657, -82.4201, 178, 0.188706, 0.508953, 1.49428, 1.38145, 1.35003, 1.32234, 1.27619, 0
22.7843, 0.0894916, 3.73648, -88.1371, 138, 0.178523, 0.632897, 2.79011, 1.90406, 1.31923, 1.25835, 1.22985, 0.0284392
17.3028, 0.122113, 0.366501, -93.6186, 139, 0.159286, 0.42202, 1.6708, 1.33926, 1.13069, 1.11729, 0.981565, 0.00878703
13.7264, -0.261964, 5.54136, -97.195, 113, 0.129064, 0.403717, 1.89317, 1.40687, 1.33875, 1.09287, 1.00763, 0
10.2944, 0.0296037, 2.31861, -100.627, 57, 0.129334, 0.514718, 1.61169, 1.21243, 0.803622, 0.744326, 0.660785, 0
99.9131, 0.17569, 5.08787, -1.63802, 700, 0.241772, 0.517685, 2.72257, 2.62429, 2.26898, 2.10488, 2.05815, 0.0661636
96.7802, 0.130072, 1.13077, -4.77099, 627, 0.267224, 0.496309, 2.78873, 2.42403, 2.01515, 1.9221, 1.84592, 0
92.9405, -0.484631, 1.31069, -8.61067, 598, 0.234177, 0.636579, 3.17978, 2.8082, 2.71904, 1.83994, 1.80695, 0.00642122
87.1472, -0.347795, 3.4402, -14.4039, 641, 0.258555, 0.503741, 3.41203, 2.66488, 1.66556, 1.59043, 1.42242, 0.0190678
83.5644, 0.311364, 4.03, -17.9868, 558, 0.26155, 0.506451, 2.70936, 2.06295, 1.99298, 1.62677, 1.45359, 0.0084195
79.8998, 0.31878, 3.23755, -21.6513, 524, 0.26259, 0.499374, 2.92451, 1.81159, 1.67632, 1.65687, 1.65067, 0
69.0538, -0.303525, 0.115498, -32.4973, 408, 3.43078, 0.561413, 2.87432, 2.00172, 1.8702, 1.63568, 1.49706, 0
66.1101, -0.47399, 4.89991, -35.4411, 542, 0.230502, 0.493359, 2.76387, 2.02084, 1.91839, 1.63036, 1.62962, 0.0294283
56.4189, 0.237684, 2.36834, -45.1322, 378, 0.234421, 0.494903, 2.21857, 2.1814, 2.03274, 1.62397, 1.61958, 0.0167146
52.8334, 0.417799, 1.7503, -48.7178, 339, 0.2195, 0.593633, 3.92611, 2.30848, 2.21306, 1.74312, 1.55231, 0.00300643
51.2826, -0.0392716, 1.53283, -50.2685, 328, 0.248536, 0.512826, 2.34518, 1.91136, 1.7742, 1.72281, 1.72124, 0
47.3089, -0.117182, 5.73524, -54.2422, 388, 0.249526, 0.482744, 2.31842, 2.10391, 2.06655, 1.56413, 1.56209, 0.00188468
44.9542, 0.296356, 0.680394, -56.597, 305, 0.236878, 0.55499, 3.31599, 1.98537, 1.79444, 1.77687, 1.66049, 0.000414011
29.2713, -0.295769, 2.00442, -72.2799, 188, 0.181073, 0.562909, 2.26426, 1.90538, 1.71612, 1.69804, 1.41773, 0.0235364
