p_T, Eta, Phi, Area, Rho, p_T-corr, N-Trk, Angularity, Angularity-NW, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, distmatch, XMatch, X_tru
93.586, 0.325967, 5.94029, 0.3849, 243.144, -16.832, 149, 0.229468, 0.244519, 0.628094, 2.95718, 2.86997, 2.25811, 2.20331, 2.1497, 1e+06, 0, 0
90.4487, -0.171578, 0.67881, 0.407953, 221.713, -19.9693, 176, 0.268115, 0.296802, 0.513913, 2.64419, 2.32294, 2.26678, 2.23808, 2.08573, 1e+06, 0, 0.00319232
82.9565, -0.0390017, 2.96587, 0.370867, 223.683, -27.4615, 160, 0.254913, 0.277772, 0.518478, 4.22879, 2.23034, 2.12508, 2.04187, 1.88124, 1e+06, 0, 0
79.6999, 0.143269, 1.18325, 0.421986, 188.868, -30.7181, 179, 0.268117, 0.296251, 0.445251, 2.44841, 2.27835, 1.80081, 1.61475, 1.53488, 1e+06, 0, 0
77.7285, -0.454319, 3.25055, 0.370867, 209.586, -32.6894, 140, 0.272101, 0.28634, 0.555204, 2.32602, 2.22296, 2.13976, 1.53242, 1.38648, 1e+06, 0, 0.000621665
65.5609, 0.356606, 3.26104, 0.309724, 211.675, -44.8571, 113, 0.259288, 0.284471, 0.580185, 3.11504, 2.44666, 2.20976, 1.97358, 1.96313, 1e+06, 0, 0
61.9476, 0.102173, 4.38891, 0.263616, 234.992, -48.4704, 124, 0.235924, 0.262987, 0.499578, 1.97381, 1.89873, 1.83575, 1.82082, 1.5104, 1e+06, 0, 0.00375179
57.0973, -0.24263, 3.64588, 0.315738, 180.837, -53.3207, 132, 0.265621, 0.276541, 0.432555, 1.98891, 1.48718, 1.34948, 1.33803, 1.2024, 1e+06, 0, 0
41.4843, -0.364905, 5.70958, 0.246576, 168.241, -68.9337, 77, 0.252199, 0.2608, 0.538757, 1.95352, 1.80684, 1.70079, 1.66915, 1.49893, 1e+06, 0, 0.00407676
39.2841, -0.000535751, 1.78742, 0.16238, 241.927, -71.1339, 68, 0.238436, 0.266634, 0.577707, 2.34784, 1.92704, 1.87007, 1.83879, 1.68437, 1e+06, 0, 0.0105027
36.5536, -0.101371, 2.53267, 0.179419, 203.733, -73.8644, 77, 0.213824, 0.248444, 0.474722, 1.70957, 1.63612, 1.15274, 1.14746, 1.07068, 0.461021, 0.0634296, 0.0103979
24.9459, 0.489681, 1.63204, 0.135316, 184.353, -85.472, 44, 0.186022, 0.20293, 0.566953, 2.24124, 2.13017, 1.60652, 1.22165, 1.0407, 1e+06, 0, 0
21.932, -0.431198, 1.11494, 0.112262, 195.364, -88.486, 44, 0.218489, 0.24691, 0.498455, 1.60314, 1.27949, 1.25629, 1.25392, 1.1729, 1e+06, 0, 0
17.4936, 0.434735, 0.751395, 0.112262, 155.828, -92.9244, 30, 0.185373, 0.201891, 0.583119, 1.98024, 1.31857, 1.15507, 1.08804, 0.999876, 1e+06, 0, 0
