Thu Dec 17 07:03:16 2020    prof.txt

         150531575 function calls (149477974 primitive calls) in 274.147 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   321194    0.207    0.000    0.207    0.000 {method 'endswith' of 'str' objects}
    83799    0.207    0.000    1.773    0.000 <__array_function__ internals>:2(any)
    72590    0.202    0.000    0.202    0.000 __init__.py:427(__getnewargs__)
    80116    0.202    0.000    0.551    0.000 artist.py:687(set_figure)
     4021    0.201    0.000    0.498    0.000 validation.py:850(check_random_state)
   143729    0.200    0.000    0.294    0.000 rcsetup.py:600(_deprecate_case_insensitive_join_cap)
    68232    0.199    0.000    0.332    0.000 font_manager.py:869(set_stretch)
    73230    0.198    0.000    0.519    0.000 rcsetup.py:623(validate_capstyle)
    68232    0.194    0.000    0.495    0.000 font_manager.py:832(set_style)
    53870    0.194    0.000    0.773    0.000 transforms.py:2276(__init__)
    90920    0.192    0.000    1.878    0.000 transforms.py:148(invalidate)
    83799    0.189    0.000    1.352    0.000 fromnumeric.py:2249(any)
    53764    0.185    0.000    0.415    0.000 markers.py:252(set_fillstyle)
    10000    0.182    0.000    3.709    0.000 base.py:189(get_params)
   145061    0.182    0.000    0.277    0.000 posixpath.py:41(_get_sep)
     2000    0.181    0.000    0.186    0.000 {method 'predict' of 'sklearn.tree._tree.Tree' objects}
   137453    0.180    0.000    0.269    0.000 font_manager.py:1016(_normalize_font_family)
    42202    0.180    0.000    2.928    0.000 font_manager.py:932(copy)
    46151    0.180    0.000    0.373    0.000 __init__.py:853(get_siblings)
    70110    0.179    0.000    0.560    0.000 artist.py:354(set_transform)
   272508    0.178    0.000    0.178    0.000 {method 'pop' of 'list' objects}
   185959    0.177    0.000    0.177    0.000 fromnumeric.py:71(<dictcomp>)
    10000    0.177    0.000    3.394    0.000 base.py:162(_get_param_names)
    68232    0.176    0.000    0.452    0.000 font_manager.py:842(set_variant)
    18617    0.175    0.000    0.469    0.000 shape_base.py:612(column_stack)
    21973    0.172    0.000    0.725    0.000 axis.py:1610(_set_formatter)
   102718    0.171    0.000    0.315    0.000 font_manager.py:887(set_size)
20098/12690    0.170    0.000    0.677    0.000 transforms.py:2366(get_affine)
    87986    0.169    0.000    0.360    0.000 lines.py:1232(set_xdata)
    70499    0.169    0.000    0.456    0.000 rcsetup.py:617(validate_joinstyle)
     3982    0.169    0.000    0.474    0.000 ticker.py:2214(_raw_ticks)
     2076    0.169    0.000    0.169    0.000 {built-in method io.open_code}
     4540    0.168    0.000    5.315    0.001 text.py:268(_get_layout)
     2044    0.166    0.000    0.166    0.000 {function SeedSequence.generate_state at 0x7fa5d2c21280}
    12434    0.166    0.000    0.473    0.000 inspect.py:2760(__init__)
    10981    0.164    0.000    0.289    0.000 posixpath.py:334(normpath)
    52857    0.160    0.000    0.398    0.000 text.py:1137(set_verticalalignment)
    69221    0.159    0.000    0.420    0.000 font_manager.py:819(set_family)
   170460    0.154    0.000    0.154    0.000 {method 'update' of 'dict' objects}
     2000    0.153    0.000    1.010    0.001 _forest.py:126(_generate_unsampled_indices)
    20861    0.150    0.000    0.264    0.000 font_manager.py:736(__hash__)
     8050    0.145    0.000    0.278    0.000 validation.py:1015(<listcomp>)
    88979    0.145    0.000    0.326    0.000 lines.py:1244(set_ydata)
    11717    0.143    0.000    4.330    0.000 artist.py:723(set_clip_path)
    20704    0.143    0.000    0.310    0.000 __init__.py:2271(_check_shape)
     2000    0.142    0.000    0.628    0.000 _classes.py:897(predict_proba)
    15055    0.141    0.000    0.441    0.000 transforms.py:1921(rotate)
    11339    0.141    0.000    0.196    0.000 function_base.py:1152(diff)
    52417    0.141    0.000    0.365    0.000 text.py:944(set_horizontalalignment)
    53764    0.139    0.000    2.515    0.000 markers.py:215(__init__)
5464/5420    0.139    0.000   23.259    0.004 axis.py:416(__init__)
      151    0.139    0.001    0.139    0.001 {method 'setter' of 'property' objects}
    43404    0.138    0.000    0.223    0.000 __init__.py:1268(is_math_text)
    76650    0.137    0.000    0.137    0.000 {method 'copy' of 'dict' objects}
    60229    0.136    0.000    1.287    0.000 transforms.py:1267(__add__)
    20250    0.136    0.000    1.512    0.000 lines.py:1277(update_from)
5530/5486    0.133    0.000   23.359    0.004 axis.py:489(__init__)
    11672    0.133    0.000    0.240    0.000 core.py:2949(_update_from)
    10986    0.130    0.000    1.527    0.000 ticker.py:2169(set_params)
    51360    0.130    0.000    0.365    0.000 __init__.py:1281(_to_unmasked_float_array)
       30    0.129    0.004    0.129    0.004 {method 'close' of '_io.BufferedRandom' objects}
   177682    0.129    0.000    0.129    0.000 __init__.py:1756(<listcomp>)
79391/57827    0.127    0.000    0.412    0.000 transforms.py:2305(_invalidate_internal)
     2870    0.127    0.000    0.181    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    12713    0.126    0.000    3.027    0.000 patches.py:761(_update_patch_transform)
    10976    0.126    0.000    0.692    0.000 ticker.py:2146(_validate_steps)
   137770    0.125    0.000    0.125    0.000 transforms.py:131(<dictcomp>)
     8884    0.125    0.000    0.176    0.000 transforms.py:2764(nonsingular)
    79893    0.124    0.000    0.208    0.000 <string>:1(__new__)
    79219    0.124    0.000    0.289    0.000 lines.py:67(_scale_dashes)
    20704    0.122    0.000    0.785    0.000 path.py:98(__init__)
        1    0.122    0.122    0.122    0.122 tangled_up_in_unicode_13_0_0.py:2(<module>)
    86244    0.119    0.000    0.338    0.000 _asarray.py:86(asanyarray)
    25490    0.118    0.000    0.350    0.000 fromnumeric.py:39(_wrapit)
   101398    0.117    0.000    0.118    0.000 {built-in method __new__ of type object at 0x907780}
   193572    0.117    0.000    0.117    0.000 {built-in method posix.fspath}
    38782    0.115    0.000    0.345    0.000 common.py:1460(is_extension_array_dtype)
     8388    0.115    0.000   39.312    0.005 axis.py:815(set_tick_params)
   177682    0.114    0.000    0.114    0.000 __init__.py:1761(<listcomp>)
     2400    0.114    0.000    0.114    0.000 {built-in method builtins.dir}
   180665    0.114    0.000    0.114    0.000 {method 'values' of 'dict' objects}
30000/2000    0.114    0.000    2.037    0.001 base.py:47(clone)
    53876    0.114    0.000    0.114    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    27315    0.113    0.000    3.731    0.000 text.py:1190(set_fontproperties)
    33002    0.112    0.000    1.030    0.000 lines.py:1190(set_markerfacecolor)
    33002    0.112    0.000    0.396    0.000 lines.py:631(set_data)
    50604    0.112    0.000    0.353    0.000 re.py:198(search)
    72590    0.110    0.000    0.244    0.000 artist.py:108(__getstate__)
    39445    0.109    0.000    0.181    0.000 base.py:413(find)
    49623    0.108    0.000    0.269    0.000 __init__.py:431(is_scalar_or_string)
      203    0.107    0.001    0.112    0.001 {built-in method _imp.create_dynamic}
    35193    0.107    0.000    0.266    0.000 <__array_function__ internals>:2(dot)
   160783    0.107    0.000    0.108    0.000 enum.py:562(__new__)
   163464    0.107    0.000    0.107    0.000 {built-in method builtins.issubclass}
       10    0.106    0.011    2.869    0.287 plotData.py:77(plot_corr_mat)
      140    0.106    0.001    0.193    0.001 {pandas._libs.lib.map_infer}
   144472    0.106    0.000    0.106    0.000 {method 'partition' of 'str' objects}
     5588    0.105    0.000    1.743    0.000 transforms.py:658(union)
    12027    0.105    0.000    0.458    0.000 axis.py:1636(set_major_locator)
    33002    0.104    0.000    0.428    0.000 lines.py:1346(set_dash_capstyle)
    10000    0.103    0.000    0.184    0.000 base.py:187(<listcomp>)
    32936    0.103    0.000    0.511    0.000 fromnumeric.py:52(_wrapfunc)
     6052    0.102    0.000    5.758    0.001 text.py:863(get_window_extent)
     2198    0.101    0.000    0.101    0.000 {method 'read' of '_io.BufferedReader' objects}
    10956    0.100    0.000    3.507    0.000 scale.py:106(set_default_locators_and_formatters)
    55099    0.100    0.000    0.139    0.000 deprecation.py:456(_deprecate_method_override)
    38091    0.099    0.000    0.152    0.000 lines.py:33(_get_dash_pattern)
    57827    0.099    0.000    0.324    0.000 pyplot.py:715(_auto_draw_if_interactive)
   140108    0.099    0.000    0.099    0.000 __init__.py:2234(<genexpr>)
    12466    0.098    0.000    0.252    0.000 shape_base.py:24(atleast_1d)
   158951    0.098    0.000    0.098    0.000 {method 'isidentifier' of 'str' objects}
     3002    0.098    0.000   60.173    0.020 colors.py:281(to_rgba_array)
   147956    0.097    0.000    0.097    0.000 artist.py:1043(sticky_edges)
12512/12013    0.097    0.000    2.670    0.000 inspect.py:2206(_signature_from_callable)
28114/28003    0.097    0.000    0.166    0.000 copy.py:128(deepcopy)
    56841    0.096    0.000    0.591    0.000 figure.py:42(_stale_figure_callback)
    43315    0.096    0.000    0.712    0.000 <__array_function__ internals>:2(amin)
    33002    0.096    0.000    0.740    0.000 lines.py:1204(set_markerfacecoloralt)
    33002    0.095    0.000    0.232    0.000 lines.py:1045(set_drawstyle)
102302/84362    0.094    0.000    0.278    0.000 {built-in method builtins.hash}
    43443    0.094    0.000    0.654    0.000 <__array_function__ internals>:2(amax)
    10966    0.093    0.000    0.252    0.000 ticker.py:518(__init__)
    34486    0.092    0.000    0.233    0.000 text.py:1039(set_fontsize)
    43315    0.092    0.000    0.517    0.000 fromnumeric.py:2714(amin)
    36896    0.091    0.000    0.209    0.000 common.py:1600(_is_dtype_type)
    58086    0.091    0.000    0.226    0.000 __init__.py:1207(is_interactive)
    34673    0.090    0.000    0.313    0.000 <__array_function__ internals>:2(concatenate)
    33002    0.090    0.000    0.376    0.000 lines.py:716(set_transform)
13206/7108    0.090    0.000    0.245    0.000 units.py:192(get_converter)
      330    0.089    0.000    0.090    0.000 {built-in method io.open}
    20704    0.089    0.000    0.202    0.000 path.py:193(_update_values)
    54970    0.089    0.000    0.441    0.000 axis.py:332(_set_artist_props)
    47529    0.089    0.000    0.124    0.000 __init__.py:804(clean)
    53634    0.088    0.000    0.325    0.000 artist.py:165(convert_xunits)
    70054    0.087    0.000    0.087    0.000 __init__.py:2236(type_name)
    33002    0.086    0.000    0.373    0.000 lines.py:1302(set_dash_joinstyle)
    99200    0.086    0.000    0.086    0.000 artist.py:194(axes)
    19970    0.086    0.000    0.202    0.000 _ufunc_config.py:32(seterr)
    43443    0.086    0.000    0.464    0.000 fromnumeric.py:2589(amax)
    86809    0.085    0.000    0.085    0.000 {method 'count' of 'str' objects}
    25426    0.084    0.000    1.080    0.000 transforms.py:1969(translate)
 12900/50    0.084    0.000   50.308    1.006 artist.py:33(draw_wrapper)
   107066    0.084    0.000    0.084    0.000 transforms.py:971(get_points)
   144349    0.084    0.000    0.084    0.000 plotData.py:126(<lambda>)
    23147    0.084    0.000    0.274    0.000 transforms.py:2603(__init__)
14647/12367    0.084    0.000    1.399    0.000 _base.py:635(_unstale_viewLim)
     8202    0.083    0.000    3.918    0.000 axis.py:770(cla)
    33002    0.083    0.000    0.360    0.000 lines.py:1360(set_solid_capstyle)
    33002    0.083    0.000    0.207    0.000 lines.py:1080(set_linewidth)
    96257    0.081    0.000    0.081    0.000 {built-in method builtins.vars}
    53395    0.081    0.000    0.287    0.000 artist.py:177(convert_yunits)
    33002    0.081    0.000    0.355    0.000 lines.py:1316(set_solid_joinstyle)
     4469    0.081    0.000    0.940    0.000 patches.py:41(__init__)
    63885    0.081    0.000    0.132    0.000 transforms.py:200(<lambda>)
19320/19222    0.080    0.000    0.368    0.000 transforms.py:1041(get_points)
2669/1307    0.080    0.000    0.642    0.000 base.py:293(__new__)
    10986    0.080    0.000    0.616    0.000 ticker.py:2161(_staircase)
    10966    0.079    0.000    0.341    0.000 axis.py:1652(set_minor_locator)
   120314    0.078    0.000    0.078    0.000 {built-in method _stat.S_ISLNK}
    18130    0.078    0.000    3.487    0.000 patches.py:258(get_transform)
21366/21309    0.076    0.000    0.216    0.000 transforms.py:1794(transform_affine)
    53201    0.076    0.000    0.076    0.000 {method 'search' of 're.Pattern' objects}
    12074    0.076    0.000    0.084    0.000 stride_tricks.py:183(_broadcast_shape)
    35462    0.075    0.000    0.404    0.000 base.py:256(is_dtype)
     2076    0.075    0.000    0.343    0.000 <frozen importlib._bootstrap_external>:969(get_data)
