p_T, Eta, Phi, p_T-corr, N-Trk, Angularity, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, X_tru
61.1361, 0.413642, 6.1036, -43.8029, 447, 2.19032, 0.489089, 3.07601, 1.93644, 1.57906, 1.47104, 1.45597, 0.00982092
56.4034, -0.331587, 1.1957, -48.5357, 333, 0.216189, 0.626705, 2.06215, 1.90111, 1.80644, 1.69957, 1.57153, 0
53.0133, -0.130877, 3.80862, -51.9258, 350, 0.225632, 0.509743, 1.80996, 1.67448, 1.5391, 1.46454, 1.38454, 0
46.2804, -0.0598094, 0.391912, -58.6586, 351, 0.229319, 0.472249, 2.57706, 1.83629, 1.70389, 1.5811, 1.35228, 0.000801855
26.5209, -0.387299, 4.31259, -78.4182, 185, 0.199699, 0.491127, 2.48771, 2.2637, 1.28943, 1.10215, 0.906231, 0
24.819, -0.253734, 4.81937, -80.1201, 188, 0.198844, 0.528063, 1.88589, 1.67542, 1.12506, 1.0899, 0.891478, 0
24.3457, 0.203698, 5.3081, -80.5933, 175, 0.188346, 0.517994, 1.82185, 1.46826, 1.24047, 1.11786, 1.0635, 0.0490205
20.8569, -0.220662, 2.68995, -84.0822, 139, 0.18534, 0.632027, 2.80257, 1.4295, 1.33397, 1.21029, 1.16469, 0
17.3114, 0.011662, 6.06738, -87.6277, 170, 0.178185, 0.443882, 2.08455, 1.48763, 1.23418, 0.836589, 0.731774, 0
11.3661, 0.492428, 2.24695, -93.5729, 57, 0.164156, 0.631452, 1.72077, 1.4249, 1.3207, 1.11342, 0.908281, 0
91.5542, -0.223024, 6.18313, -3.07113, 566, 2.57355, 0.554874, 2.63072, 2.21427, 2.12281, 1.89282, 1.85278, 0.0013765
87.2564, 0.407029, 1.32467, -7.36898, 488, 0.263025, 0.58957, 2.40122, 2.07859, 1.98054, 1.90443, 1.88654, 0
83.6212, 0.108935, 3.04843, -11.0041, 579, 0.256326, 0.489013, 2.19571, 1.90835, 1.90802, 1.90156, 1.67091, 0.00609341
83.3091, 0.238677, 0.854242, -11.3163, 587, 0.266938, 0.495887, 1.82925, 1.67261, 1.51692, 1.47205, 1.45222, 0
83.1492, -0.403695, 4.48337, -11.4761, 615, 0.259439, 0.494936, 3.21427, 1.9702, 1.59614, 1.47163, 1.3567, 0.000214243
72.6099, 0.381864, 3.6228, -22.0155, 467, 0.239691, 0.580879, 3.20856, 2.72696, 2.32901, 1.88688, 1.88455, 0
70.5014, 0.0272472, 2.22179, -24.1239, 415, 0.227755, 0.59747, 3.71369, 3.12142, 2.47545, 2.19285, 1.85944, 0.0118847
68.3983, 0.124407, 0.288829, -26.2271, 421, 0.370525, 0.565275, 2.18696, 1.6794, 1.67636, 1.58267, 1.55712, 0
58.3407, -0.288071, 3.47796, -36.2847, 350, 0.228368, 0.566414, 2.35522, 1.72319, 1.42282, 1.42247, 1.40867, 0.00514693
57.0429, -0.285244, 0.673956, -37.5824, 362, 0.231733, 0.500377, 2.47012, 1.97638, 1.81049, 1.44337, 1.22686, 0
46.4118, -0.0216036, 5.59961, -48.2135, 354, 0.21259, 0.400102, 2.09355, 1.78279, 1.62735, 1.51994, 1.26632, 0
43.5566, -0.178425, 1.73867, -51.0687, 310, 0.220228, 0.531179, 2.40684, 2.31691, 1.68544, 1.35615, 1.26265, 0.0103567
39.0751, 0.276205, 5.20408, -55.5503, 334, 0.257272, 0.394698, 1.40939, 1.35574, 1.24576, 1.21064, 1.1718, 0.00688703
31.2344, 0.0456612, 4.51057, -63.391, 245, 0.2295, 0.422086, 2.02769, 1.87933, 1.84738, 1.49248, 1.12201, 0.0253963
19.9157, -0.188136, 5.17934, -74.7097, 153, 0.199209, 0.43295, 1.95576, 1.5659, 0.949822, 0.884309, 0.753041, 0
18.1465, 0.367287, 6.03397, -76.4788, 98, 0.562241, 0.585371, 2.48959, 1.37113, 1.30092, 1.24245, 1.05411, 0
14.5702, 0.266962, 2.61684, -80.0552, 73, 0.136684, 0.520364, 2.15031, 2.01823, 1.33993, 0.772538, 0.762139, 0
90.3756, -0.446132, 4.30044, -6.28357, 616, 0.266742, 0.534767, 2.68032, 2.36346, 2.0891, 1.86932, 1.7882, 0.0157149
88.5532, -0.275832, 3.69089, -8.10605, 668, 0.263074, 0.514844, 2.82595, 2.78476, 2.1636, 2.12326, 2.08416, 0
79.91, 0.449463, 1.83682, -16.7493, 489, 0.268406, 0.570785, 2.11686, 1.89634, 1.84855, 1.84128, 1.80217, 0.0242503
